code,name,kind,amount,effective from,unit,used in packs,specialties,max qty per pack,priced already
SUCTION-TUBING,Suction tubing,CONSUMABLE,,2026-08-13,piece,29,Cardiothoracic Surgery; General Surgery; Maxillofacial Surgery; Neurosurgery; Obstetrics & Gynaecology; Orthopaedics; Paediatric Surgery; Plastic Surgery; Urology,1,no
YANKAUER-SUCTION-HANDLE,Yankauer suction handle,CONSUMABLE,,2026-08-13,piece,29,Cardiothoracic Surgery; General Surgery; Maxillofacial Surgery; Neurosurgery; Obstetrics & Gynaecology; Orthopaedics; Paediatric Surgery; Plastic Surgery; Urology,1,no
FORMALIN-10-SPECIMEN-BOTTLE,Formalin (10%) specimen bottle,CONSUMABLE,,2026-08-13,bottle,26,Cardiothoracic Surgery; ENT (Otorhinolaryngology); General Surgery; Maxillofacial Surgery; Neurosurgery; Obstetrics & Gynaecology; Orthopaedics; Paediatric Surgery; Plastic Surgery; Urology,1,no
HISTOLOGY-REQUEST-LABEL,Histology request/label,CONSUMABLE,,2026-08-13,piece,26,Cardiothoracic Surgery; ENT (Otorhinolaryngology); General Surgery; Maxillofacial Surgery; Neurosurgery; Obstetrics & Gynaecology; Orthopaedics; Paediatric Surgery; Plastic Surgery; Urology,1,no
SPECIMEN-CONTAINER,Specimen container,CONSUMABLE,,2026-08-13,piece,26,Cardiothoracic Surgery; ENT (Otorhinolaryngology); General Surgery; Maxillofacial Surgery; Neurosurgery; Obstetrics & Gynaecology; Orthopaedics; Paediatric Surgery; Plastic Surgery; Urology,2,no
DIATHERMY-MONOPOLAR-PENCIL-WITH-HOLSTER,Diathermy (monopolar) pencil with holster,CONSUMABLE,,2026-08-13,piece,19,Cardiothoracic Surgery; ENT (Otorhinolaryngology); General Surgery; Maxillofacial Surgery; Obstetrics & Gynaecology; Orthopaedics; Urology,1,no
DIATHERMY-PATIENT-PLATE-RETURN-ELECTRODE,Diathermy patient plate (return electrode),CONSUMABLE,,2026-08-13,piece,19,Cardiothoracic Surgery; ENT (Otorhinolaryngology); General Surgery; Maxillofacial Surgery; Obstetrics & Gynaecology; Orthopaedics; Urology,1,no
DIATHERMY-SCRATCH-CLEANING-PAD,Diathermy scratch/cleaning pad,CONSUMABLE,,2026-08-13,piece,19,Cardiothoracic Surgery; ENT (Otorhinolaryngology); General Surgery; Maxillofacial Surgery; Obstetrics & Gynaecology; Orthopaedics; Urology,1,no
VICRYL-SUTURE,Vicryl suture,CONSUMABLE,,2026-08-13,piece,19,Cardiothoracic Surgery; ENT (Otorhinolaryngology); General Surgery; Maxillofacial Surgery; Neurosurgery; Obstetrics & Gynaecology; Orthopaedics; Paediatric Surgery; Urology,4,no
SCALPEL-BLADE-NO-15,Scalpel blade No. 15,CONSUMABLE,,2026-08-13,piece,15,Cardiothoracic Surgery; General Surgery; Maxillofacial Surgery; Obstetrics & Gynaecology; Orthopaedics; Paediatric Surgery; Plastic Surgery; Urology,2,no
NORMAL-SALINE-0-9-1-L,Normal Saline 0.9% (1 L),DRUG,,2026-08-13,litre,12,Cardiothoracic Surgery; Combined Spinal-Epidural (anaesthesia); Epidural (anaesthesia); General (anaesthesia); General Surgery; Neurosurgery; Obstetric (anaesthesia); Obstetrics & Gynaecology; Orthopaedics; Spinal (anaesthesia); Urology,3,no
RINGER-S-LACTATE-HARTMANN-S-1-L,Ringer's Lactate (Hartmann's) (1 L),DRUG,,2026-08-13,litre,12,Cardiothoracic Surgery; Combined Spinal-Epidural (anaesthesia); Epidural (anaesthesia); General (anaesthesia); General Surgery; Neurosurgery; Obstetric (anaesthesia); Obstetrics & Gynaecology; Orthopaedics; Spinal (anaesthesia); Urology,2,no
